asset_id	destination_file	source_file	primary_roles	purpose_based_alt	prototype_approval	launch_review
ASSET-253	public/images/collaboration-tiles.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-253--IMG_3859.jpg	Home opening; play and relationships; employment	An educator sits with four children as they build with translucent colored tiles outdoors.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-005	public/images/material-table.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-005--Garden-Gate-CDC-Web-Banner.jpg	Home process detail; Studio One; News introduction	Paint, brushes, flowers, and water jars arranged on a Garden Gate work table.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-009	public/images/featherstone-campus.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-009--GG-Building1.jpg	Featherstone setting; About; Contact	Garden Gate’s low gray building behind a white fence painted with colorful marks.	Approved by user for this Garden Gate repository/preview project	Confirm site identity, photograph rights, crop, current context, and final alt text before launch.
ASSET-006	public/images/painting-process.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-006--Exploring-Projects.jpg	Home process detail; Studio Two; support story	A child uses a fine brush while painting at a table with flowers and water jars.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-007	public/images/clay-construction.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-007--Creative-Clay.jpg	Materials and art; Support introduction	Children’s hands fit wood wheels and metal pieces to a small clay construction.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-254	public/images/observation-drawing.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-254--IMG_0683.jpg	Observation and documentation; Approach; For Educators	Children draw in sketchbooks while seated near displayed artwork.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, displayed creative works, and alt text before launch.
ASSET-264	public/images/featherstone-deck.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-264--IMG_4401.jpg	Summer; Programs; Current Families	Two children look at books and draw on a colorful mat on an outdoor deck.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, displayed creative works, and alt text before launch.
ASSET-139	public/images/project-group.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-139--IMG_8883.jpg	Projects over time; People; Employment	A small group of children works together with clay, natural pieces, and drawing tools.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-250	public/images/belonging-hands.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-250--IMG_2185.jpg	Approach bridge; belonging; Enrollment	Two children hold hands while walking outdoors.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-251	public/images/meadow-inquiry.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-251--IMG_7240.jpg	Dated highlight; outdoor inquiry; About	Children move through tall meadow grasses in a wide outdoor area.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, representation, and alt text before launch.
ASSET-032	public/images/studio-relationship.jpg	02-collect/assets/official-site-images/restricted-child-rights/ASSET-032--IMG_4258.jpg	Kindergarten; Programs introduction	Several children work together with open-ended materials around a studio table.	Approved by user for this Garden Gate repository/preview project	Reconfirm current parent or guardian consent, photographer rights, crop, context, displayed creative works, and alt text before launch.
